# Object Type: 1991bg-like SNe Ia; Date: 2005 to 2025; Number SNe: 144,,,,
Name,RA,DEC,Redshift,Discovery Date (UT)
SN 2005bl,12:04:12.26,+20:24:24.8,0.024,2005-04-14 00:00:00.000
SN 2005ke,03:35:04.35,-24:56:38.8,0.005,2005-11-13 00:00:00.000
SN 2006bd,11:38:28.46,+20:31:34.4,0.026,2006-03-26 00:00:00.000
SN 2006gt,00:56:17.30,-01:37:46.0,0.045,2006-09-18 00:00:00.000
SN 2006mr,03:22:43.04,-37:12:29.6,0.006,2006-11-05 00:00:00.000
SN 2007al,09:59:18.48,-19:28:25.8,0.012,2007-03-10 00:00:00.000
SN 2007ax,08:22:43.26,+22:33:16.9,0.007,2007-03-29 00:00:00.000
SN 2007ba,15:16:42.63,+07:23:47.8,0.039,2006-09-18 00:00:00.000
SN 2007N,12:49:01.25,-09:27:10.2,0.013,2007-01-21 00:00:00.000
SN 2008bd,10:18:23.32,-13:06:11.2,0.030,2008-03-13 00:00:00.000
SN 2008bi,08:35:53.39,+00:42:23.1,0.013,2008-03-22 00:00:00.000
SN 2008bt,10:50:16.88,-12:06:32.0,0.015,2008-04-13 00:00:00.000
SN 2009F,04:59:23.56,-11:07:50.1,0.013,2009-01-04 00:00:00.000
SN 2015bo,14:09:55.130,+17:31:55.60,0.016,2015-02-14 10:37:06.000
SN 2016ajf,03:19:54.470,+41:33:53.50,0.020,2016-02-18 10:27:05.000
SN 2016ajm,02:49:36.000,-31:13:24.10,0.024,2016-02-20 02:15:17.000
SN 2016brv,12:05:14.480,+10:36:55.40,0.034,2016-04-16 12:46:49.000
SN 2016gdt,21:52:22.554,+03:25:18.70,0.029,2016-09-08 23:31:12.000
SN 2016gkd,02:21:22.270,-42:20:39.41,0.057,2016-09-18 23:18:14.000
SN 2016ije,01:58:30.330,+12:55:27.90,0.040,2016-11-22 17:02:24.000
SN 2017avj,13:05:02.990,+53:39:32.98,0.029,2017-02-14 13:59:31.000
SN 2017dzs,23:32:28.880,+23:56:10.93,0.017,2017-05-11 18:51:35.000
SN 2017fof,16:54:23.684,+41:20:09.04,0.028,2017-07-16 21:21:23.000
SN 2017hle,01:07:33.063,+32:24:29.66,0.015,2017-10-18 16:25:32.000
SN 2018ame,15:09:25.516,+25:28:17.56,0.022,2018-02-28 15:28:48.000
SN 2018awi,10:20:10.910,-07:50:48.70,0.059,2018-04-12 04:27:50.000
SN 2018baz,16:24:13.390,+25:16:19.40,0.100,2018-03-21 09:50:24.000
SN 2018chl,12:03:32.390,-43:39:17.32,0.015,2018-05-30 15:20:09.000
SN 2018ciw,14:59:30.788,+28:10:58.86,0.056,2018-06-07 06:40:19.000
SN 2018efn,14:45:09.733,+09:16:24.66,0.024,2018-07-26 06:44:38.000
SN 2018eyi,16:25:12.512,+40:50:25.04,0.030,2018-08-08 07:43:40.000
SN 2018gro,22:11:49.200,+38:42:01.50,0.022,2018-09-20 06:17:28.000
SN 2018hkw,02:38:22.809,-11:44:20.23,0.027,2018-10-16 05:45:36.000
SN 2018jag,01:03:48.310,+10:35:32.38,0.040,2018-11-25 10:35:32.000
SN 2018lph,16:43:36.538,+33:32:00.96,0.080,2018-07-03 00:00:00.000
SN 2019ahh,14:02:15.140,+09:46:59.34,0.023,2019-01-30 02:09:36.000
SN 2019be,13:00:14.515,+27:57:24.09,0.020,2019-01-02 15:02:52.000
SN 2019cdc,14:08:49.136,+35:36:51.39,0.028,2019-03-25 12:08:38.000
SN 2019cp,10:54:50.042,-07:22:51.61,0.050,2019-01-04 10:27:03.000
SN 2019ecx,09:16:42.030,+18:57:54.11,0.029,2019-04-26 07:32:09.000
SN 2019exc,19:47:57.584,+03:56:42.40,0.060,2019-05-09 13:53:45.000
SN 2019luv,21:55:15.008,-12:08:56.37,0.060,2019-07-26 09:08:09.000
SN 2019moq,00:26:27.710,+38:07:23.71,0.060,2019-07-24 09:41:45.000
SN 2019noh,23:05:40.758,+27:39:57.52,0.025,2019-08-15 09:05:52.000
SN 2019op,02:21:41.849,-25:55:37.77,0.040,2019-01-10 06:56:09.000
SN 2019so,12:42:36.420,-40:44:46.79,0.015,2019-01-14 14:41:16.000
SN 2020abmg,08:15:24.545,-06:57:27.74,0.040,2020-12-03 12:47:31.200
SN 2020abpe,01:36:24.560,+22:02:59.29,0.050,2020-12-05 04:42:34.272
SN 2020acbx,08:46:21.190,-12:39:21.58,0.051,2020-12-05 10:33:36.864
SN 2020aclx,00:37:53.521,-21:28:18.95,0.060,2020-12-10 05:05:16.800
SN 2020acoo,09:41:14.127,+26:05:18.87,0.044,2020-12-11 12:46:04.800
SN 2020aejj,05:01:03.906,-38:26:54.97,0.056,2020-12-22 09:14:24.000
SN 2020ais,11:44:28.493,+10:47:01.77,0.020,2020-01-19 14:38:24.000
SN 2020dq,13:00:18.965,-33:37:46.91,0.046,2020-01-03 14:11:02.000
SN 2020ecn,11:59:27.331,-20:26:41.25,0.021,2020-03-05 10:11:26.002
SN 2020mfd,17:16:07.435,+40:47:11.57,0.048,2020-06-11 06:44:08.160
SN 2020nta,16:07:23.350,+13:53:33.75,0.034,2020-06-29 05:08:43.996
SN 2020vae,18:02:58.722,+52:06:54.27,0.048,2020-10-03 02:53:16.000
SN 2020yo,03:06:06.513,+13:54:48.57,0.090,2020-01-15 06:28:48.000
SN 2020yzn,19:33:22.330,-58:07:22.26,0.016,2020-11-06 01:55:12.000
SN 2021aare,06:03:40.032,-26:39:47.67,0.040,2021-10-06 14:05:16.800
SN 2021abzd,00:43:35.889,+30:35:32.36,0.018,2021-10-22 10:01:55.200
SN 2021afur,10:22:12.998,+17:51:40.41,0.028,2021-12-02 11:09:29.952
SN 2021agej,01:29:58.070,+19:26:20.72,0.040,2021-12-09 06:41:45.600
SN 2021agnf,06:31:55.004,+35:33:23.77,0.027,2021-12-23 14:05:16.800
SN 2021bls,16:43:20.729,+61:35:41.52,0.019,2021-02-01 13:24:57.600
SN 2021bmu,01:18:04.563,+14:33:13.23,0.053,2021-01-31 05:08:09.600
SN 2021cad,10:55:45.464,+24:01:39.56,0.042,2021-02-06 10:41:37.248
SN 2021fnr,14:38:01.891,+10:11:02.48,0.027,2021-03-14 14:45:36.000
SN 2021gel,12:26:32.288,+31:25:42.22,0.060,2021-03-18 12:04:19.200
SN 2021jbp,13:24:57.974,-24:10:50.77,0.042,2021-04-11 09:36:00.000
SN 2021jvp,14:20:46.938,-19:47:10.09,0.044,2021-04-13 12:14:24.000
SN 2021mab,11:55:10.651,-07:50:35.09,0.021,2021-05-09 06:54:43.200
SN 2021oyx,23:55:27.618,-34:52:29.94,0.050,2021-06-06 03:36:00.000
SN 2021pom,12:18:01.874,-20:51:27.39,0.032,2021-06-12 06:33:07.200
SN 2021qqr,17:09:29.716,-22:26:51.67,0.031,2021-06-19 07:36:45.216
SN 2021uef,19:49:36.431,+42:14:23.47,0.030,2021-07-27 09:23:55.000
SN 2021uve,01:56:32.570,+03:51:37.22,0.055,2021-08-01 10:43:40.800
SN 2021wzb,04:51:04.140,-05:57:24.81,0.048,2021-08-26 13:37:55.200
SN 2021xfm,21:15:00.852,+21:54:36.35,0.040,2021-08-27 10:01:55.200
SN 2021zqs,03:03:31.204,+27:40:55.95,0.036,2021-09-27 09:20:09.600
SN 2021zsz,06:10:33.313,-14:32:19.97,0.036,2021-09-27 14:39:50.400
SN 2022aaok,09:15:00.834,+22:35:22.40,0.027,2022-11-17 09:50:24.000
SN 2022abom,03:41:09.140,-02:50:54.85,0.036,2022-11-24 09:57:52.416
SN 2022aecb,04:59:02.250,-00:26:30.88,0.015,2022-12-26 03:22:48.576
SN 2022bsi,15:14:27.649,+50:19:01.30,0.037,2022-02-09 12:11:47.000
SN 2022dsu,14:05:30.767,+15:43:15.52,0.070,2022-02-27 08:54:00.999
SN 2022fjx,10:43:30.163,+19:04:58.81,0.046,2022-03-26 07:31:09.120
SN 2022jou,17:49:34.463,+16:40:40.87,0.036,2022-05-03 09:38:49.344
SN 2022kbc,12:04:46.911,+09:26:17.72,0.069,2022-05-18 05:02:56.996
SN 2022omn,22:47:27.119,-25:39:53.34,0.050,2022-07-07 01:01:43.968
SN 2022oux,22:16:46.590,+86:55:56.96,0.019,2022-07-12 10:10:36.002
SN 2022rey,17:53:13.673,+42:47:18.69,0.040,2022-08-11 09:48:49.824
SN 2022rjs,16:16:30.100,+21:15:05.29,0.037,2022-08-17 05:47:37.997
SN 2022skw,01:55:44.666,-25:14:55.48,0.070,2022-08-22 06:07:42.240
SN 2022ubt,19:16:28.790,+41:53:21.45,0.052,2022-09-13 08:42:29.376
SN 2022uxl,03:28:36.301,+05:47:21.65,0.032,2022-09-19 09:14:19.680
SN 2022vse,04:01:21.919,-54:45:15.90,0.050,2022-09-22 05:08:46.752
SN 2022vxf,21:11:15.740,+37:53:08.34,0.028,2022-09-24 00:15:50.400
SN 2022xhh,04:16:41.618,-12:11:00.88,0.032,2022-10-09 08:42:46.656
SN 2022xnq,00:04:38.967,-08:05:59.75,0.029,2022-10-14 08:11:05.001
SN 2022yv,11:21:42.737,+34:21:29.99,0.035,2022-01-09 16:03:21.600
SN 2022ywc,03:22:12.123,-42:53:04.82,0.058,2022-10-28 03:00:52.704
SN 2022zsp,05:05:37.679,+32:31:08.66,0.022,2022-11-04 09:43:58.656
SN 2022zvu,09:53:51.059,-07:47:33.66,0.019,2022-11-10 10:35:06.996
SN 2023abdv,01:11:08.470,-13:56:38.72,0.052,2023-12-25 01:43:11.424
SN 2023acdv,13:32:45.130,-13:02:49.81,0.023,2023-12-30 14:20:56.832
SN 2023bhm,04:42:54.998,+00:37:06.32,0.015,2023-02-02 03:18:43.200
SN 2023cvq,08:38:10.584,+25:06:05.58,0.029,2023-03-10 05:16:42.004
SN 2023dk,05:11:06.320,-01:04:49.08,0.028,2023-01-08 21:42:15.840
SN 2023ex,12:58:53.610,+28:07:37.34,0.023,2023-01-09 14:45:38.592
SN 2023fot,12:21:47.557,+10:35:29.11,0.026,2023-04-14 03:39:38.592
SN 2023fwb,21:23:39.395,+39:34:51.36,0.027,2023-04-16 14:30:08.928
SN 2023jah,20:31:09.277,-44:15:44.77,0.030,2023-05-21 03:12:12.672
SN 2023mkp,13:39:22.927,+51:02:58.76,0.015,2023-07-07 07:13:22.080
SN 2023omo,14:17:02.783,+10:49:19.04,0.025,2023-08-04 06:24:57.312
SN 2023sps,23:44:15.210,-23:31:44.90,0.049,2023-09-15 09:41:53.998
SN 2023vjh,04:02:39.175,+25:14:00.54,0.019,2023-10-17 08:13:05.002
SN 2023yrs,06:26:52.896,-24:36:53.01,0.023,2023-12-03 13:47:40.992
SN 2024abwg,06:43:21.469,+63:38:57.84,0.050,2024-11-23 06:47:36.997
SN 2024bjb,11:11:55.793,+03:08:01.28,0.030,2024-01-31 13:16:33.024
SN 2024fid,12:24:18.861,+10:26:46.41,0.060,2024-03-29 10:19:44.832
SN 2024iyx,19:13:12.663,+45:19:21.48,0.034,2024-05-16 10:10:43.000
SN 2024jgw,17:15:02.869,+46:02:41.60,0.028,2024-05-25 07:24:19.999
SN 2024jhk,10:51:24.286,+08:33:29.94,0.023,2024-05-26 07:37:51.744
SN 2024jih,16:39:54.801,+37:10:57.06,0.031,2024-05-27 00:06:20.160
SN 2024lhg,21:58:20.656,-09:48:26.12,0.060,2024-06-11 14:13:01.632
SN 2024luo,00:40:17.760,+02:45:23.87,0.017,2024-06-19 13:49:27.264
SN 2024nev,22:13:50.674,+03:59:02.51,0.059,2024-06-27 11:35:51.002
SN 2024pbd,15:11:13.082,+46:08:52.25,0.018,2024-07-08 07:46:42.240
SN 2024pkh,22:44:32.087,-42:31:18.54,0.067,2024-07-13 04:30:06.048
SN 2024rkh,02:38:41.968,-07:17:03.58,0.070,2024-07-30 10:36:13.999
SN 2024stt,22:23:42.752,-63:09:27.84,0.044,2024-08-25 04:17:42.144
SN 2024ulb,01:23:48.965,-15:42:36.90,0.044,2024-09-01 06:38:53.664
SN 2024vcj,02:45:35.250,-17:41:22.99,0.026,2024-09-09 10:37:56.064
SN 2024wdg,04:45:16.797,+08:33:15.49,0.066,2024-09-21 11:27:26.997
SN 2024xdl,20:30:21.103,-01:00:22.90,0.021,2024-09-30 03:02:40.997
SN 2024xhs,23:33:55.825,-23:43:42.88,0.047,2024-10-03 04:19:11.136
SN 2024yhg,02:06:31.536,+29:59:50.12,0.016,2024-10-15 03:32:08.000
SN 2024zaj,02:45:52.724,-17:02:31.78,0.024,2024-10-21 07:25:51.003
SN 2024zls,00:46:40.425,-14:20:07.31,0.053,2024-10-24 07:48:27.648
SN 2024zwb,21:22:01.662,+07:08:41.51,0.029,2024-10-31 07:10:12.000
SN 2025ahu,02:44:07.413,-09:27:20.91,0.029,2025-01-27 21:05:25.728
SN 2025nn,07:17:39.340,+43:49:03.12,0.050,2025-01-11 08:10:27.001